Filing Date,Document Type,Filed By,Description
"June 26, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=571985189""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2506047 - Decision Correcting Errors In Decision 25-01-039. Rulemaking 22-07-005 remains open.
"May 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566911513""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","Pacific Gas and Electric Company,San Diego Gas & Electric Company,Southern California Edison Company",JOINT REPORT IN COMPLIANCE WITH ORDERING PARAGRAPH 5 OF D.24-05-028
"May 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566911514""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","Bear Valley Electric Service, Inc.",DECISION ADDRESSING ASSEMBLY BILL 205 REQUIREMENTS FOR ELECTRIC UTILITIES  MULTI-FAMILY HOUSING FIXED CHARGES.
"May 27, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566886171""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>",LIBERTY UTILITIES (CALPECO ELECTRIC) LLC,REPORT ON SINGLE-AND MULTI-FAMILY HOUSING
"May 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566593612""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/SISTO/CPUC,"Proposed Decision correcting errors in Decision 15-01-039. Opening comments, which shall not exceed 15 pages, are due no later than June 9, 2025. Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"May 15, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=564706741""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2505026 - Decision Granting Compensation To Utility Consumers' Action Network For Substantial Contribution To Decision (D.) 24-05-028.
"April 24, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=564852983""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2504045 - Order Denying Rehearing Of Decision 24-05-028. Rulemaking 22-07-005 remains open.
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=561438028""><span style=""color:blue""><u>EXPARTE</u></span></a>",Green Hydrogen Coalition,Three-Day Advance Notice of Ex Parte Communication.
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562527349""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2504015 - Decision Granting Compensation To California Environmental Justice Alliance For Substantial Contribution To Decision (D.) 24-05-028.
"March 13, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559942468""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2503015 - Order Extending Statutory Deadline. This decision extends the statutory deadline for completion of Rulemaking 22-07-005 until October 30, 2025."
