Filing Date,Document Type,Filed By,Description
"June 06, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=570522919""><span style=""color:blue""><u>REQUEST</u></span></a>",Center for Accessible Technology,"for intervenor compensation for contribution to D21-10-015, D21-10-032, Resolution M-4857, and D25-04-006"
"May 23, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=566913889""><span style=""color:blue""><u>RESPONSE</u></span></a>",California Broadband & Video Association,RESPONSE TO THE UTILITY REFORM NETWORK'S APPLICATION FOR REHEARING OF DECISION 25-04-006
"May 08, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=565498663""><span style=""color:blue""><u>REHEARING REQUEST</u></span></a>",The Utility Reform Network,APPLICATION FOR REHEARING OF DECISION 25-04-006
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=563000193""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2504006 - Decision Closing Rulemaking 18-03-011.  Rulemaking 18-03-011 is closed.
"March 25, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560829291""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,REPLY COMMENTS ON PROPOSED DECISION
"March 25, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560829292""><span style=""color:blue""><u>COMMENTS</u></span></a>","Charter Communications, Inc.",REPLY COMMENTS ON PROPOSED DECISION
"March 25, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560241858""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Broadband & Video Association,REPLY COMMENTS ON PROPOSED DECISION
"March 25, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560829286""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,Reply comments of San Diego Gas & Electric Company on Proposed Decision closing Rulemaking 18-03-011.
"March 25, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560829285""><span style=""color:blue""><u>COMMENTS</u></span></a>",CTIA - The Wireless Association,Reply comments of CTIA on Proposed Decision to close Rulemaking 18-03-011.
"March 25, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560241837""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Southern California Edison Companys reply comments on Proposed Decision closing Rulemaking 18-03-011.
"March 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=560241811""><span style=""color:blue""><u>COMMENTS</u></span></a>","Charter Communications, Inc.",OPENING COMMENTS ON PROPOSED DECISION
"March 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559371527""><span style=""color:blue""><u>COMMENTS</u></span></a>",CAL ADVOCATES/LAM/CPUC,OPENING COMMENTS ON PROPOSED DECISION
"March 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559371524""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,OPENING COMMENTS ON PROPOSED DECISION
"March 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559099244""><span style=""color:blue""><u>COMMENTS</u></span></a>",Center for Accessible Technology,OPENING COMMENTS ON PROPOSED DECISION
"March 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559223482""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Broadband & Video Association,Comments of the California Broadband & Video Association on Proposed Decision closing Rulemaking 18-03-011.
"March 20, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559223475""><span style=""color:blue""><u>COMMENTS</u></span></a>",Rural County Representatives of California,OPENING COMMENTS ON PROPOSED DECISION
"February 28, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=557608808""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",CMMR/ALICE REYNOLDS/CPUC,"Proposed Decision closing Rulemaking 18-03-011. Opening comments, which shall not exceed 15 pages, are due no later than March 20, 2025. Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"February 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556895528""><span style=""color:blue""><u>NOTICE</u></span></a>",CTIA - The Wireless Association,NOTICE OF SUBSTITUTION OF COUNSEL
"June 20, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=534542927""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2406009 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding to June 20, 2025."
"June 06, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=533182976""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/COOKE/CPUC,Notice of Co-Assignment.
"June 08, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=511717953""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2306012 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding to June 30, 2024."
"March 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503589000""><span style=""color:blue""><u>NOTICE</u></span></a>",California Broadband & Video Association,Notice of Party Name Change and Email address Change.
"February 27, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=502756791""><span style=""color:blue""><u>NOTICE</u></span></a>",CTIA,NOTICE OF SUBSTITUTION OF REPRESENTATIVE
"July 14, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=495974856""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2207023 - Decision Granting Compensation To Center For Accessible Technology For Substantial Contribution To Decisions (D.) D.18-08-004; D.19-07-015; D.19-08-025; D.20-09-012; D.20-07-011; D.21-02-029; D.21-04-015, and D.21-06-020; AND Resolutions M-4833; M-4835; M-4842; M-4848 and M-4849."
"July 14, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=495974852""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2207011 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding to June 30, 2023."
"June 23, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=488540625""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2206044 - Compensation To Small Business Utility Advocates For Substantial Contribution To Resolution M-4848.
"June 23, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=489651583""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2206038 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision (D.) 02-07-011;D.20-09-012; Resolution M-4848; Resolution M-4849; D.21-02-029 And D.21-04-015.
"June 02, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=483542327""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2206022 - Compensation to The Utility Consumers' Action Network For Substantial Contribution To Decision 21-02-029.
"April 15, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=466723120""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Reply Comments on Administrative Law Judge’s Ruling
"April 15, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=468500097""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/GRONSKY/CPUC,Reply Comments on Administrative Law Judge’s Ruling
"April 15, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=467568803""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Cable & Telecommunications Association,Reply Comments on Administrative Law Judge’s Ruling
"April 15, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=467556188""><span style=""color:blue""><u>COMMENTS</u></span></a>",CTIA,Reply Comments on Administrative Law Judge’s Ruling
"April 15, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=467577910""><span style=""color:blue""><u>COMMENTS</u></span></a>",Center for Accessible Technology,Reply Comments on Administrative Law Judge’s Ruling
"April 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463620801""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Gas Company,Opening comments of Southern California Gas company to Administrative Law Judge’s Ruling requesting comment on closing Rulemaking 18-03-011.
"April 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=465588905""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Water Association,Comments on ALJ Ruling Requesting Comment on Closing Rulemaking 18-03-011
"April 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=465578375""><span style=""color:blue""><u>COMMENTS</u></span></a>",California-American Water Company,"California-American Water Company’s comments on March 21,2022 Ruling on closing  Rulemaking 18-03-011."
"April 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=464783077""><span style=""color:blue""><u>COMMENTS</u></span></a>",Center for Accessible Technology,Center for Accessible Technology’s comments on ruling requesting comment on closing Rulemaking 18-03-011.
"April 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=465562309""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Cable and Telecommunications Association,Comments of the California Cable & Telecommunications Association on closing Rulemaking 18-03-011.
