Filing Date,Document Type,Filed By,Description
"November 16, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520979312""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2311065 - Decision Granting Compensation To The Utility Consumers' Action Network For Substantial Contribution To Decision 21-06-036.
"November 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520757679""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2311032 - Decision Granting Compensation To Center For Accessible Technology For Contribution To Decision 22-04-037.
"November 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520779926""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2311027 - Decision Granting Compensation To Utility Consumers' Action Network For Contributions To Decisions (D.) 21-11-014 And D.22-04-037.
"November 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520867234""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2311033 - Decision Granting Compensation To Small Business Utility Advocates For Contributions To Decision 22-04-037.
"November 02, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520758576""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2311028 - Decision Granting Compensation To Leadership Counsel For Justice And Accountability For Contribution To Decisions 21-02-036 & 22-04-037.
"October 12, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520558392""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2310020 - Decision Granting Compensation Claim To California Environmental Justice Alliance For Contribution To Decisions 21-06-036 And 22-04-037.
"October 12, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520577977""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2310023 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision 22-04-037
"July 13, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=514716064""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2307012 - Decision Granting Compensation To Greenlining Institute For Substantial Contribution To Decision (D.) 21-06-036.
"June 08, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=511370444""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2306019 - Decision Granting Compensation To The Center For Accessible Technology For Substantial Contribution To Decision 21-06-036.
"June 08, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=511382070""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2306020 - Decision Granting Compensation To Small Business Utility Advocates For Substantial Contributiion To Decision (D.) 21-06-036
"May 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=509671017""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2305028 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision (D.) 21-06-036.
"May 18, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=509545534""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2305029 - Decision Granting Compensation To The National Consumer Law Center For Substantial Contribution To Decision (D.) 21-06-036.
"June 27, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=489140519""><span style=""color:blue""><u>REQUEST</u></span></a>",Small Business Utility Advocates,for intervenor compensation; supplement
"June 20, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=486752323""><span style=""color:blue""><u>MOTION</u></span></a>",Utility Consumers' Action Network,for late-filed acceptance of request for intervenor compensation
"June 20, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=486447235""><span style=""color:blue""><u>REQUEST</u></span></a>",Utility Consumers' Action Network,"for intervenor compensation for contribution to D21-11-014, D22-04-037"
"June 17, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=486440034""><span style=""color:blue""><u>REQUEST</u></span></a>",Leadership Counsel for Justice and Accountability,for intervenor compensation for contribution to D21-06-036 and D22-04-037
"June 17, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=486437905""><span style=""color:blue""><u>REQUEST</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,for intervenor compensation for contribution to D22-04-037
"June 17, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=486216854""><span style=""color:blue""><u>REQUEST</u></span></a>",Small Business Utility Advocates,for intervenor compensation for contribution to D22-04-037
"June 16, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=485625968""><span style=""color:blue""><u>REQUEST</u></span></a>",The Utility Reform Network,for intervenor compensation for contribution to D22-04-037
"June 16, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=485618373""><span style=""color:blue""><u>REQUEST</u></span></a>",California environmental justice alliance,"for intervenor compensation for contribution to D21-06-036, D22-04-037"
"April 07, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=468801115""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2204037 - Decision Requiring Development of Community Based Organization Case Management Pilot Program To Reduce Arrearages Associated With The Covid-19 Pandemic. Rulemaking 21-02-014 is closed.
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463619733""><span style=""color:blue""><u>COMMENTS</u></span></a>","CENTER FOR ACCESSIBLE TECHNOLOGY,NATINAL CONSUMER LAW CENTER",Reply Comments on Proposed Decision
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463619752""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,REPLY COMMENTS ON PROPOSED DECISION
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463620071""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Reply Comments on Proposed Decision
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463620072""><span style=""color:blue""><u>COMMENTS</u></span></a>",CAL ADVOCATES/MERZA/CPUC,REPLY COMMENTS OF THE PUBLIC ADVOCATES OFFICE ON THEADMINISTRATIVE LAW JUDGE’S PROPOSED DECISION REQUIRINGDEVELOPMENT OF COMMUNITY BASED ORGANIZATIONMANAGEMENT PILOT PROGRAM TO REDUCE ARREARAGESASSOCIATED WITH THE COVID-19 PANDEMIC
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463619851""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Reply Comments on Proposed Decision
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463619953""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,Reply Comments on Proposed Decision
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463619741""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers' Action Network,Reply Comments on Proposed Decision
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=463620502""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Reply Comments on Proposed Decision
"March 29, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=464783084""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Gas Company,REPLY COMMENTS ON THE ASSIGNED ADMINISTRATIVE LAW JUDGE’S PROPOSED DECISION REQUIRING DEVELOPMENT OF COMMUNITY BASED ORGANIZATION CASE MANAGEMENT PILOT PROGRAM TO REDUCE ARREARAGES ASSOCIATED WITH THE COVID-19 PANDEMIC
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462250118""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/MERZA/CPUC,Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462269907""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,Opening Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462242627""><span style=""color:blue""><u>COMMENTS</u></span></a>","Leadership Counsel for Justice and Accountability,CALIFORNIA ENVIRONMENTAL JUSTICE ALLIANCE",Joint Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462433826""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Gas Company,Opening Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462433818""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Opening Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462437773""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Opening Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462229610""><span style=""color:blue""><u>COMMENTS</u></span></a>","CENTER FOR ACCESSIBLE TECHNOLOGY,NATIONAL CONSUMER LAW CENTER",Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462242636""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Opening Comments on Proposed Decision
"March 24, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=462250117""><span style=""color:blue""><u>COMMENTS</u></span></a>","Bear Valley Electric Service, Inc.,PacifiCorp,Liberty Utilities (CalPeco Electric) LLC",Joint Comments on Proposed Decision
"March 07, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=456594200""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR HOUCK/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Kathleen Yip, Energy Advisor to Commissioner Houck logs an ex parte meeting with MCE on March 2, 2022 at approximately 1:00 pm"
"March 04, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=456312790""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/WATTS-ZAGHA/CPUC,"Proposed Decision requiring Development of Community Based Organization Case Management Pilot Program to reduce arrearages associated with the COVID-19 pandemic. Opening comments, which shall not exceed 15 pages, are due no later than March 24, 2022. Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"March 02, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=455677119""><span style=""color:blue""><u>EXPARTE</u></span></a>",Marin Clean Energy,"MARIN CLEAN ENERGY NOTICE OF EX PARTE COMMUNICATION Marin Clean Energy (“MCE”) notice of an ex parte communication on March 02, 2022 at approximately 1:00 PM, Kathleen Yip, Energy Advisor to Commissioner Houck met with Stephanie Chen, Senior Policy Counsel for MCE. The meeting was conducted remotely via video conferencing. Stephanie Chen, Senior Policy Counsel attended on behalf of MCE. The communication took place via video conferencing and was initiated by MCE. "
"February 25, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=453952606""><span style=""color:blue""><u>EXPARTE</u></span></a>",Marin Clean Energy,"MARIN CLEAN ENERGY ADVANCE NOTICE OF EX PARTE COMMUNICATION  Marin Clean Energy hereby provides notice that it has been granted an ex parte meeting with Kathleen Yip, Energy Advisor to Commissioner Houck on Wednesday, March 2nd from 1:00pm to approximately 1:30pm via video conferencing initiated by Stephanie Chen who  will attend for MCE."
"February 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=445599608""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/Simon/CPUC,NOTICE OF REASSIGNMENT. Rulemaking 21-02-014 is being reassigned from Commissioner Martha Guzman Aceves to Commissioner Darcie L. Houck.
"January 04, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=436656185""><span style=""color:blue""><u>TRANSCRIPT</u></span></a>",ALJ/REPORTING/CPUC,"NOVEMBER 9, 2021 - WORKSHOP (VIRTUAL) - PAGES 1-137 - VOLUME 1. "
"December 23, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=435652860""><span style=""color:blue""><u>EXPARTE</u></span></a>",COMMR GUZMAN ACEVES/ADVISOR/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION. Justin Fong and Sarah Sharpe, advisors to Commissioner Guzman Aceves log an ex parte meeting with CforAT on October 15, 2021 at 2:00 pm."
"December 21, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=434617831""><span style=""color:blue""><u>MOTION</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,MOTION SEEKING DISTRIBUTION OF POPULATED CBO TEMPLATES
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=427243380""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Gas Company,Reply Comments on Assigned Commissioner’s Ruling
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=426686911""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Reply Comments on Assigned Commissioner’s Ruling
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=427264612""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers' Action Network,Reply Comments on Assigned Commissioner’s Ruling
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=426770933""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Reply Comments on Assigned Commissioner’s Ruling
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=426677429""><span style=""color:blue""><u>COMMENTS</u></span></a>",CENTER FOR ACCESSIBLE TECHNOLOGY,Reply Comments on Assigned Commissioner’s Ruling
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=427264607""><span style=""color:blue""><u>COMMENTS</u></span></a>",San Diego Gas & Electric Company,Reply Comments on Assigned Commissioner’s Ruling
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=426695207""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,Reply Comments on Assigned Commissioner’s Ruling
"November 30, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=426686910""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Reply Comments on Assigned Commissioner’s Ruling
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424113728""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,Opening Comments to the Staff Proposal for IOU Collaborative Arrearage Case Management and Questions for Parties on Staff Proposal
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424116557""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2111014 - Decision Directing Allocating Of Payment On Past-Due Bills Between Investor-Owned Utilities And Community Choice Aggregators.
"November 18, 2021","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=424113937""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,Comments Regarding Questions on Enhance CBO Participation
