Filing Date,Document Type,Filed By,Description
"May 31, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=215726275""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D1805022 - Decision Establishing Reentry Fees and Financial Securit Requirements for Community Choice Aggregators.  R.03-10-003 is closed.
"May 01, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=215367147""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company,Pacific Gas and Electric Company,San Diego Gas & Electric Company",Reply comments on Proposed Decision establishing reentry fees and financial security requirements for community choice aggregators.
"May 01, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=213824007""><span style=""color:blue""><u>NOTICE</u></span></a>",CALJ/SIMON/CPUC,Notice of Reassignment.
"May 01, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=215367252""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Community Choice Association,Reply comments on Proposed Decision establishing reentry fees and financial security requirements for community choice aggregators.
"April 26, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=254771445""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company,Pacific Gas and Electric Company,San Diego Gas & Electric Company",Opening comments on Proposed Decision establishing reentry fees and financial security requirements for community choice aggregators. 
"April 26, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=215367134""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Community Choice Association,Comments on Proposed Decision establishing reentry fees and financial security requirements for community choice aggregators.
"April 06, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=212867967""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/ALLEN/CPUC,"Proposed Decision establishing reentry fees and financial security requirements for community choice aggregators. Opening comments, which shall not exceed 15 pages, are due no later than April 26, 2018. Reply comments, which shall not exceed 5 pages, are due 5 days after the last day for filing opening comments."
"March 15, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=212200474""><span style=""color:blue""><u>MOTION</u></span></a>",East Bay Community Energy Authority,MOTION FOR PARTY STATUS
"February 12, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=216500726""><span style=""color:blue""><u>EXPARTE</u></span></a>",City and County of San Francisco,"SUMMARY:  On February 7, 2018, Harlan L. Kelly, Jr., General Manager of the San Francisco Public Utilities Commission, City and County of San Francisco, sent a letter to Cmmrs. Picker and Randolph. The letter concerned a revised Draft Resolution E-4907. The letter identified procedural, legal, and factual concerns with the Resolution. Further, Mr. Kelly requested that the Commission not adopt the Resolution in light of the stated deficiencies. A copy of the letter is attached to the notice."
"February 08, 2018","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=213823868""><span style=""color:blue""><u>NOTICE</u></span></a>","Shell Energy North America (US), L.P.","Summary:  On February 6, 2018, John W. Leslie of Dentons US LLP, attorneys for Shell Energy North America (US), L.P., sent a letter to Cmmr. Picker. Copies of the letter were also sent to Cmmrs. Guzman Aceves, Peterman, Randolph, and Rechtschaffen, and to Edward Randolph, Director of the Energy Division. The letter raises objections to revised Draft Resolution E-4907. A copy of the letter is attached to the notice. "
"November 29, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=199554043""><span style=""color:blue""><u>MOTION</u></span></a>",City of Solana Beach,MOTION FOR PARTY STATUS
"November 20, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=215366918""><span style=""color:blue""><u>BRIEF</u></span></a>",California Community Choice Association,Reply brief.
"November 20, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=215365355""><span style=""color:blue""><u>BRIEF</u></span></a>","Southern California Edison Company,Pacific Gas and Electric Company,San Diego Gas & Electric Company",Joint reply brief. 
"November 06, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=206676970""><span style=""color:blue""><u>BRIEF</u></span></a>","Southern California Edison Company,San Diego Gas & Electric Company,Pacific Gas and Electric Company","JOINT, OPENING;"
"November 06, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=211794856""><span style=""color:blue""><u>BRIEF</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Opening Brief Of California Community Choice Association.
"October 19, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=197542149""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/MCKINNEY/CPUC,Administrative Law Judge’s Ruling pursuant to Rule 8.1(c) of the Commission’s Rules of Practice and Procedure regarding customer choice workshop. 
"October 19, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=197542146""><span style=""color:blue""><u>MOTION</u></span></a>",CITY OF RANCHO MIRAGE,Motion for Party Status.
"September 29, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198354488""><span style=""color:blue""><u>EXPARTE</u></span></a>",Southern California Edison Company,"SUMMARY:  On September 28, 2017, Caroline Choi, Senior Vice President of Regulatory Affairs for Southern California Edison Company (SCE), sent an electronic mail to Cmmrs. Picker and Peterman. Copies of the correspondence were also e-mailed to Cmmrs. Rechtschaffen, Randolph, and Guzman Aceves, to Edward Randolph, Director of the Energy Division, and Mitchell Shapson, attorney of the Legal Division. The letter responds to an ex parte communication of California Choice Energy Authority that occurred on September 25, 2017. A copy of the correspondence is attached to the notice."
"September 27, 2017","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=212596783""><span style=""color:blue""><u>EXPARTE</u></span></a>",California Choice Energy Authority,"Notice of Ex Parte Communications. California Choice Energy Authority noticed written ex parte communication of an e-mail and accompanying letter sent to Commission President, Michael Picker and Commissioner Carla Peterman, with copies of the letter provided to the other Commissioners, on September 25, 2017."
