Filing Date,Document Type,Filed By,Description
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562187945""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION on July 15,2022, at 9:30 a.m and lasted approximately 30 minutes via Webex initiated by Alliance for Retail Energy Market with Maria Sotero, Advisor to Commissioner John Reynolds and Scott Olson of Direct Energy, Mary Lynch and Holly Bohart of Constellation NewEnergy, Greg Bass of Calpine Energy Solutions and Mark Fulmer of MRW & Associates, consultant to AReM.  See also, notice filed 7-20-22."
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562082296""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION on May 4, 2022, at 4:00 p.m. and lasted approximately 35 minutes via Webex initiated by California Community  Choice Association with Maria Sotero, Energy  Advisor  to Commissioner John Reynolds; Dina Mackin, Regulatory Analyst,  Energy  Division; and Nicholas Dahlberg,  Senior Energy  Policy  Analyst, Energy  Division and Evelyn  Kahl, CalCCA -General Counsel  and Director of Policy;  Eric Little, CalCCA Director of Regulatory  Affairs; Leanne Bober,  CalCCA -Senior Counsel;  Ann Springgate, Keyes  and Fox  LLP -Counsel  for CalCCA; Sabrinna Soldavini, MCE -Policy -Analyst II; and Byron Vosburg, San Diego Community Power -Director of Power Services. See also, notice filed 5-6-22."
"April 03, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=562188047""><span style=""color:blue""><u>EXPARTE</u></span></a>",CMMR/JOHN_REYNOLDS/CPUC,"DECISIONMAKER NOTICE OF EX PARTE COMMUNICATION on May 6, 2022, at 1:30p.m. and lasted approximately 30 minutes via Webex initiated by Southern California Edison Company (SCE), Pacific Gas and Electric Company (PG&E), and San Diego Gas & Electric Company (SDG&E) with Maria Sotero, Energy Advisor to Commissioner John Reynolds and Diana Gallegos, Director of State Regulatory Affairs; Maria Litos, Principal Manager Contract Origination. Cem Turhal, Principal, Regulatory Affairs; Erica Brown. Chris Summers, Director of Origination & Portfolio Design. Michael Ruzzo, Energy Procurement Advisor; Kari Kloberdanz, Manager of Regulatory Relations; and Dennis Peters, Manager of Regulatory Relations. See also, notice filed 5-11-22"
"August 01, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=537202636""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2408004 - Decision Denying Petition For Modification Of Decision 23-06-006. Rulemaking 17-06-026 is closed.
"July 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=536273580""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Reply comments of California Community Choice Association on Proposed Decision.
"July 11, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=535686429""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company,San Diego Gas & Electric Company,Southern California Edison Company",JOINT OPENING COMMENTS ON THE PROPOSED DECISION
"June 21, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=534105282""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",ALJ/WANG/CPUC,"Proposed Decision denying Petition for Modification of Decision 23-06-006. Opening comments, which shall not exceed 15 pages, are due no later than July 11, 2024. Reply comments, which shall not exceed 5 pages, are due within five days after the last day for filing opening comments."
"March 07, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527435792""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2403035 - Decision Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision (D.) 19-10-001, D.20-01-030, D.20-08-004, D.21-05-030, D.23-06-006 And Resolution E-5046."
"January 18, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524120554""><span style=""color:blue""><u>NOTICE</u></span></a>",Ava Community Energy Authority,NOTICE OF PARTY NAME CHANGE FROM EAST BAY COMMUNITY ENERGY AUTHORITY TO AVA COMMUNITY ENERGY AUTHORITY
"November 17, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520913381""><span style=""color:blue""><u>EXPARTE</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,"NOTICE OF EX PARTE COMMUNICATION Pursuant to Rule 8.4 of the Rules of Practice and Procedure of the California Public Utilities Commission, California Community Choice Association1 (CalCCA) hereby provides notice of   the following ex parte meeting related to the above referenced proceedings, as followsThe communication took place by Webex on November 17, 2023 at 11:00 a.m. to 11:30 a.m. with Maria Sotero, Chief of Staff to Commissioner John Reynolds and Carolyn Chen, Advisor to  Commissioner John Reynolds.  CalCCA  participants  in  this  meeting  included:  Tim  Lindl, Partner,  Keyes  &  Fox LLP;  Brian  Dickman,  Partner  &  Deputy  Managing  Partner    Energy Practice, NewGen Strategies & Solutions; and Nikhil Vijaykar, Partner, Keyes & Fox LLP. At this meeting, CalCCA discussed the valuation of banked renewable energy credits in meeting utility Renewable Portfolio Standard obligations. Attachment A hereto includes the slide deck CalCCA presented  at  this  meeting,  which  provides  additional  details  on  the  topics  discussed  and  was emailed directly to the decision makers noted on the day of the meeting."
