Filing Date,Document Type,Filed By,Description
"June 26, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=571985314""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2506057 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding until October 31, 2025."
"February 07, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=556897295""><span style=""color:blue""><u>NOTICE</u></span></a>",CTIA - The Wireless Association,NOTICE OF SUBSTITUTION OF COUNSEL
"December 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=551172131""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2412043 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding until June 30, 2025."
"August 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=539203362""><span style=""color:blue""><u>REPLY</u></span></a>",Southern California Edison Company,"REPLY OF SOUTHERN CALIFORNIA EDISON COMPANY (U338-E) TO RESPONSE OF ENERGY PRODUCERS AND USERS COALITION TO SCE'S MOTION SEEKING (1) CONFIDENTIAL TREATMENT OF CERTAIN INFORMATION IN ITS COST AND RATE TRACKER AND (2) AUTHORIZATION FOR SCE TO COMPLY WITH THE JULY 30, 2024 RULING BY SERVING A PUBLIC VERSION OF ITS QUARTERLY TRACKER TO PROTECT THAT CONFIDENTIAL DATA"
"August 23, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=538693973""><span style=""color:blue""><u>RESPONSE</u></span></a>",Energy Producers and Users Coalition,"RESPONSE OF THE ENERGY PRODUCERS AND USERS COALITION TO SOUTHERN CALIFORNIA EDISON COMPANY'S (U 338-E) [SCE] MOTION SEEKING (1) CONFIDENTIAL TREATMENT OF CERTAIN INFORMATION IN ITS COST AND RATE TRACKER AND (2) AUTHORIZATION FOR SCE TO COMPLY WITH THE JULY 30, 2024 RULING BY SERVING A PUBLIC VERSION OF ITS QUARTERLY TRACKER TO PROTECT THAT CONFIDENTIAL DATA"
"August 13, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=537765087""><span style=""color:blue""><u>MOTION</u></span></a>",SAN DIEGO GAS & ELECTRIC COMPANY,"MOTION SEEKING (1) CONFIDENTIAL TREATMENT OF CERTAIN INFORMATION IN ITS COST AND RATE TRACKER AND (2) AUTHORIZATION TO COMPLY WITH  THE JULY 30,  2024 RULING BY SERVING A PUBLIC VERSION OF ITS QUARTERLY TRACKER TO PROTECT THAT CONFIDENTIAL DATA"
"August 13, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=537765088""><span style=""color:blue""><u>MOTION</u></span></a>",Southern California Edison Company,"MOTION SEEKING (1) CONFIDENTIAL TREATMENT OF CERTAIN INFORMATION IN ITS COST AND RATE TRACKER AND (2) AUTHORIZATION TO COMPLY WITH THE JULY 30, 2024 RULING BY SERVING A PUBLIC VERSION OF ITS TRACKER TO PROTECT THAT CONFIDENTIAL INFORMATION"
"August 07, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=537135546""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/WATTS-ZAGHA/CPUC,"ADMINISTRATIVE LAW JUDGES RULING CORRECTING ERROR IN RULING ISSUED JULY 30, 2024. This ruling makes a correction to the Joint Assigned Commissioner and Administrative Law Judges Ruling Requiring Filing of Cost and Rate Trackers (Joint Ruling) issued July 30, 2024, by eliminating the filing requirement and replacing it with a requirement to serve to the service list of this proceeding Cost and Rate Trackers."
"August 01, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=537555367""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (PARK WATER) CORP.,LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.",JOINT COMPLIANCE REPORT
"July 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=536637875""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/WATTS-ZAGHA/CPUC,JOINT ASSIGNED COMMISSIONER AND ADMINISISTRATIVE LAW JUDGES RULING REQUIRING FILING OF COST AND RATE TRACKERS
"May 01, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=531303753""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (PARK WATER) CORP.,LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.",Joint Compliance Report.
"April 18, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=530371178""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2404034 - Granting Compensation To Center For Accessible Technology For Substantial Contribution To Decision 22-08-023.
"March 07, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527450898""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2403034 - Granting Compensation To National Diversity Coalition For Substantial Contribution To Decision 22-08-023.
"March 07, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=527298660""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2403033 - Granting Compensation To The Utility Reform Network For Substantial Contribution To Decision 22-08-023.
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525921127""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,CALIFORNIA COMMUNITY CHOICE ASSOCIATIONS REPLY COMMENTS ON ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525660321""><span style=""color:blue""><u>COMMENTS</u></span></a>","Cal-Ore Telephone Co.,Foresthill Telephone Co.,Happy Valley Telephone Company,Kerman Telephone Co.,The Ponderosa Telephone Co.,Sierra Telephone Company, Inc.,The Siskiyou Telephone Company,Calaveras Telephone Company,Pinnacles Telephone Co.,Ducor Telephone Company,Hornitos Telephone Company,Volcano Telephone Company,Winterhaven Telephone Company",REPLY COMMENTS ON ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525670839""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Water Association,REPLY COMMENTS ON RULING SEEKING ADDITIONAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525574124""><span style=""color:blue""><u>COMMENTS</u></span></a>","Agricultural Energy Consumers Association,California Farm Bureau Federation,California Large Energy Consumers Association,Indicated Shippers,Energy Producers and Users Coalition","REPLY COMMENTS OF THE ENERGY PRODUCERS AND USERS COALITION, THE INDICATED SHIPPERS, CALIFORNIA LARGE ENERGY CONSUMERS ASSOCIATION, AGRICULTURAL ENERGY CONSUMERS ASSOCIATION, AND CALIFORNIA FARM BUREAU FEDERATION ON THE DECEMBER 13, 2023, ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK ORGANIZATION"
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525921139""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/Turner/CPUC,REPLY COMMENTS ON THE ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525798718""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,REPLY COMMENTS TO ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525798715""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,REPLY COMMENTS OF THE UTILITY REFORM NETWORK ON THE ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525660313""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,REPLY COMMENTS ON COMMISSIONER HOUCK''S RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525381237""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Southern California Gas Company",JOINT REPLY COMMENTS ON THE USE AND INTERPRETATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525574131""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers' Action Network,REPLY COMMENTS TO COMMISSIONER HOUCKS RULING SEEKING PARTY COMMENTS AND ANSWERS REGARDING THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK IN COMMISSION RATEMAKING PROCEEDINGS
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525798720""><span style=""color:blue""><u>COMMENTS</u></span></a>",Center for Accessible Technology,REPLY COMMENTS ON ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=525362108""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,REPLY COMMENTS ON ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"February 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=526554029""><span style=""color:blue""><u>REPLY</u></span></a>","AT&T Mobility Wireless Operations Holdings, Inc.,AT&T Corp.,Santa Barbara Cellular Systems, Ltd.,New Cingular Wireless PCS, LLC,Pacific Bell Telephone Company",Reply Comments on Assigned Commissioner's Ruling Seeking Annual Feedback on the Implementation of the Affordability Framework.
"February 01, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=526112706""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (PARK WATER) CORP.,LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.",Joint Compliance Report.
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524190183""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers' Action Network,Opening Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524181185""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Water Association,Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523993181""><span style=""color:blue""><u>COMMENTS</u></span></a>",Small Business Utility Advocates,Opening Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524105232""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Water Service Company,Opening Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524180685""><span style=""color:blue""><u>COMMENTS</u></span></a>",Environmental Defense Fund,Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523993182""><span style=""color:blue""><u>COMMENTS</u></span></a>",National Diversity Coalition,Opening Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524038631""><span style=""color:blue""><u>COMMENTS</u></span></a>",Pacific Gas and Electric Company,OPENING COMMENTS OF PACIFIC GAS AND ELECTRIC COMPANY (U 39 M) ON THE ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524181186""><span style=""color:blue""><u>COMMENTS</u></span></a>","Energy Producers and Users Coalition,Agricultural Energy Consumers Association,California Large Energy Consumers Association,Indicated Shippers,California Farm Bureau Federation",Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524122915""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523993185""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Southern California Gas Company",Joint Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524105189""><span style=""color:blue""><u>COMMENTS</u></span></a>",Cal Advocates/TURNER/CPUC,THE PUBLIC ADVOCATES OFFICE COMMENTS ON THE ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524190185""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Broadband & Video Association,California Cable & Telecommunications Association",Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523993187""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Comments on Assigned Commissioners Ruling
"January 25, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=524181182""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Comments on Assigned Commissioners Ruling
"January 17, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=523791734""><span style=""color:blue""><u>NOTICE</u></span></a>",Ava Community Energy Authority,NOTICE OF PARTY NAME CHANGE FROM EAST BAY COMMUNITY ENERGY AUTHORITY TO AVA COMMUNITY ENERGY AUTHORITY
"December 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521449073""><span style=""color:blue""><u>RULING</u></span></a>",ALJ/WATTS-ZAGHA/CPUC,ADMINISTRATIVE LAW JUDGES RULING NOTICING RELATED PROCEEDINGS OF COMMENTS SOUGHT.  This ruling invites parties to proceedings in which the Commissions affordability metrics have been introduced and/or analyzed to seek party status and provide comments on the Assigned Commissioners Ruling Seeking Annual Feedback on the Implementation of the Affordability Framework (Ruling) in Rulemaking (R.)18-07-006. Those entities or individuals wishing to file comments must also file a Motion for Party Status in R.18-07-006.
"December 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521814662""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2312026 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding to December 31, 2024."
"December 13, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=521479648""><span style=""color:blue""><u>RULING</u></span></a>",CMMR/HOUCK/CPUC,ASSIGNED COMMISSIONERS RULING SEEKING ANNUAL FEEDBACK ON THE IMPLEMENTATION OF THE AFFORDABILITY FRAMEWORK
"October 30, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520645595""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (PARK WATER) CORP.,LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.",Joint Compliance Report.
"October 19, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=520563847""><span style=""color:blue""><u>NOTICE</u></span></a>",Great Oaks Water Company,NOTICE OF SUBSTITUTION OF COUNSEL
"August 01, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=515928036""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.,LIBERTY UTILITIES (PARK WATER) CORP.",JOINT COMPLIANCE REPORT
"June 01, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=510287349""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (PARK WATER) CORP.,LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.",Joint Report.
"June 01, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=510287348""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.,LIBERTY UTILITIES (PARK WATER) CORP.",Joint Compliance Report.
"May 19, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=509016114""><span style=""color:blue""><u>SCOPING RULING</u></span></a>",CMMR/HOUCK/CPUC,ASSIGNED COMMISSIONER’S SIXTH AMENDED SCOPING MEMO AND RULING. The scope of this proceeding is described. The schedule of this proceeding is as set forth. Evidentiary hearings are not needed at this time. The category of the proceeding is quasi-legislative.
"March 14, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=503589004""><span style=""color:blue""><u>NOTICE</u></span></a>",California Broadband & Video Association,Notice of Party Name Change and Email address Change.
"February 24, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=502756653""><span style=""color:blue""><u>NOTICE</u></span></a>",CTIA,NOTICE OF SUBSTITUTION OF REPRESENTATIVE
"February 01, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=502086729""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","LIBERTY UTILITIES (PARK WATER) CORP.,LIBERTY UTILITIES (APPLE VALLEY RANCHOS WATER) CORP.",Joint Compliance Report.
"January 19, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=501407550""><span style=""color:blue""><u>RESPONSE</u></span></a>",Natural Resources Defense Council,Response to Motion for Emergency Winter Bill Relief
"January 11, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=500976974""><span style=""color:blue""><u>MOTION</u></span></a>",Cal Advocates/LEE/CPUC,Motion to Shorten the Time to Respond to Emergency Motion for Winter Bill Relief
"January 11, 2023","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=500979115""><span style=""color:blue""><u>MOTION</u></span></a>",Cal Advocates/LEE/CPUC,Emergency Motion for Winter Bill Relief
"December 07, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499659100""><span style=""color:blue""><u>MOTION</u></span></a>",California Water Association,"MOTION FOR LEAVE TO FILE REPLY COMMENTS RESPONDING TO COMMENTS FILED NOVEMBER 30, 2022"
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499458269""><span style=""color:blue""><u>COMMENTS</u></span></a>","Calaveras Telephone Company,Cal-Ore Telephone Co.,Ducor Telephone Company,Foresthill Telephone Co.,Happy Valley Telephone Company,Hornitos Telephone Company,Kerman Telephone Co.,Pinnacles Telephone Co.,The Ponderosa Telephone Co.,Sierra Telephone Company, Inc.,The Siskiyou Telephone Company,Volcano Telephone Company,Winterhaven Telephone Company",Comments on Assigned Commissioner’s Ruling
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499772716""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Bell Telephone Company,AT&T Corp.,New Cingular Wireless PCS, LLC,AT&T Mobility Wireless Operations Holdings, Inc.,Santa Barbara Cellular Systems, Ltd.",Comments of AT&T on Assigned Commissioner’s Ruling seeking comment on the use and interpretation of the affordability framework.
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499629404""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Cable & Telecommunications Association,Comments on Assigned Commissioner’s Ruling Seeking Comment on the Use and Interpretation of the Affordability Framework
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499470603""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Comments on Assigned Commissioner’s Ruling
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499459293""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Southern California Gas Company",Joint Comments on the Use and Interpretation of the Affordability Framework
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499457548""><span style=""color:blue""><u>COMMENTS</u></span></a>",Southern California Edison Company,Comments on Commissioner Houck’s Ruling Seeking Comment on the Use and Interpretation of the Affordability Framework
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499445117""><span style=""color:blue""><u>COMMENTS</u></span></a>",Utility Consumers' Action Network,"Comments to the Questions Posed by Commissioner Houck in the October 13, 2022 E-mail Ruling and Comments to Questions Posed in Section 5.3 of Decision 22-08-023"
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499447654""><span style=""color:blue""><u>COMMENTS</u></span></a>",California Water Association,Comments on the Use and Interpretation of the Affordability Framework
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499459497""><span style=""color:blue""><u>COMMENTS</u></span></a>",Center for Accessible Technology,Comments on Assigned Commissioner’s Ruling
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499459304""><span style=""color:blue""><u>COMMENTS</u></span></a>",CalAdvocates/Obiora/CPUC,Comments on Assigned Commissioner’s Ruling
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499447651""><span style=""color:blue""><u>COMMENTS</u></span></a>",National Diversity Coalition,Comments on the Use and Interpretation of the Affordability Framework
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499459301""><span style=""color:blue""><u>COMMENTS</u></span></a>",CALIFORNIA COMMUNITY CHOICE ASSOCIATION,Comments on Assigned Commissioner’s Ruling
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499445122""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Large Energy Consumers Association,Indicated Shippers,Energy Producers and Users Coalition",Comments on Assigned Commissioner’s Ruling Seeking Comments on the Use and Interpretation of the Affordability Framework
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499346618""><span style=""color:blue""><u>COMMENTS</u></span></a>",PACIFIC GAS AND ELECTRIC COMPANY,Comments on the Use and Interpretation of Affordability Framework Ordered Pursuant to Decision 22-08-023
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499457564""><span style=""color:blue""><u>COMMENTS</u></span></a>",The Utility Reform Network,Comments on Assigned Commissioner’s Ruling
"November 30, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=499445119""><span style=""color:blue""><u>COMMENTS</u></span></a>",CTIA,Comments on Assigned Commissioner’s Ruling Seeking Comments on Use and Interpretation of the Affordability Framework
"October 13, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=497621906""><span style=""color:blue""><u>RULING</u></span></a>",CMMR/HOUCK/CPUC,"Assigned Commissioner’s Ruling seeking comment on the use and interpretation of the affordability framework. Comments are due no later than November 30, 2022."
"October 10, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=497622260""><span style=""color:blue""><u>REQUEST</u></span></a>",National Diversity Coalition,for intervenor compensation for contribution to D22-08-023
"October 10, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=497621599""><span style=""color:blue""><u>REQUEST</u></span></a>",Center for Accessible Technology,for intervenor compensation for contribution to D22-08-023
"October 10, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=497621598""><span style=""color:blue""><u>REQUEST</u></span></a>",The Utility Reform Network,for intervenor compensation for contribution to D22-08-023
"August 04, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=496428621""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2208023 - Decision Implementing The Affordability Metrics.
"August 01, 2022","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=496396382""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Southern California Gas Company",Joint Comments on Assigned Commissioner’s Ruling
