Filing Date,Document Type,Filed By,Description
"March 17, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559223118""><span style=""color:blue""><u>REPORT</u></span></a>","San Diego Gas & Electric Company,Pacific Gas and Electric Company,Southern California Edison Company",D.20-12-029 Annual StockTake Report.
"March 17, 2025","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=559371492""><span style=""color:blue""><u>REPORT</u></span></a>",Southern California Edison Company,"Annual Report on Vehicle-Grid Integration Strategies, Programs, & Pilots Metrics."
"December 19, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=550330497""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2412065 - Decision Granting Intervenor Compensation To National Diversity Coalition For Substantial Contribution To Decision 22-11-040.
"December 13, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=549795600""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","Pacific Gas and Electric Company,Southern California Edison Company,San Diego Gas & Electric Company","Amended Joint Compliance Filing of Southern California Edison Company, San Diego Gas & Electric Company and Pacific Gas and Electric Company pursuant to Ordering Paragraph 2 of Decision 16-06-011."
"November 14, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=546381900""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>",CMMR/ALICE REYNOLDS/CPUC,"PROPOSED DECISION GRANTING INTERVENOR COMPENSATION TO NATIONAL DIVERSITY COALITION FOR SUBSTANTIAL CONTRIBUTION TO DECISION 22-11-040. Opening Comments, which shall not exceed 15 pages, are due on December 4, 2024. Reply Comments, which shall not exceed 5 pages, are due 5 days after the last for filing Opening Comments."
"September 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=540719872""><span style=""color:blue""><u>REPORT</u></span></a>",Southern California Edison Company,"Mid-Term Report on Vehicle-Grid Integration Strategies, Programs and Pilot Metrics."
"August 02, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=542866982""><span style=""color:blue""><u>REQUEST</u></span></a>",The Utility Reform Network,for intervenor compensation for contribution to D24-05-043 and OIR 23-12-008
"June 12, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=533837256""><span style=""color:blue""><u>AMENDMENT</u></span></a>","LIBERTY UTILITIES (CALPECO ELECTRIC) LLC,PACIFICORP,BEAR VALLEY ELECTRIC SERVICE, INC.",Amended Joint Compliance Filing pursuant to OP9 of Resolution E-5168.
"May 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=533067050""><span style=""color:blue""><u>DECISION</u></span></a>",,"Decision D2405043 - Decision Denying California Large Energy Consumer Association, Energy Producers And Users Coalition Petition For Modification Of Decision 22-11-040. This proceeding is closed."
"May 16, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=531772126""><span style=""color:blue""><u>COMMENTS</u></span></a>","Energy Producers and Users Coalition,California Large Energy Consumers Association",California Large Energy Consumers Association and Energy Producers and Users Coalition opening comments on Proposed Decision denying Petition for Modification of Decision 22-11-040.
"May 10, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=531378763""><span style=""color:blue""><u>DECISION</u></span></a>",,Decision D2405030 - Order Correcting Error.
"May 09, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=531245588""><span style=""color:blue""><u>REQUEST</u></span></a>",Green Power Institute,"Supplement; to Request for Intervenor Compensation [filed on January 13, 2023]"
"April 30, 2024","<a href=""https://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=531248917""><span style=""color:blue""><u>AMENDMENT</u></span></a>",Pacific Gas and Electric Company,"(AMENDED ) CORRECTED LANGUAGE FOR THE JOINT COMPLIANCE FILINGOF SOUTHERN CALIFORNIA EDISON COMPANY (U 338-E), SAN DIEGO GAS & ELECTRIC COMPANY (U 902 E) AND PACIFIC GASAND ELECTRIC COMPANY (U 93 E) PURSUANT TO ORDERING PARAGRAPH 2 OF DECISION 16-06-01, [ filed on April 2, 2024 (Document 240410300)]"
